,title,averageRating,numVotes,id,revenue,release_date,percent_of_max_revenue,percent_of_max_review
587,'The Dark Knight Rises',8.4,1515727,49026,1084939099.0,2012-07-16,0.8400000000000001,0.7139833841541452
463,'Shutter Island',8.2,1129155,11324,294804195.0,2010-02-18,0.82,0.1940065548406773
239,'Back to the Future',8.5,1057549,105,381109762.0,1985-07-03,0.85,0.2508030523167097
422,Up,8.2,935115,14160,735099082.0,2009-05-13,0.82,0.4837585176335925
598,'Mad Max: Fury Road',8.1,881816,76341,378858340.0,2015-05-13,0.8099999999999999,0.24932142270247534
597,'The Hunger Games',7.2,844312,70160,691210692.0,2012-03-12,0.72,0.4548761764531896
236,'The Terminator',8.0,799595,218,78371200.0,1984-10-26,0.8,0.0515750005210397
395,'Slumdog Millionaire',8.0,798653,12405,377910544.0,2008-05-12,0.8,0.24869769129101502
327,'Die Hard',8.2,792887,562,140767956.0,1988-07-15,0.82,0.0926374408461998
198,Scarface,8.3,740537,111,65884703.0,1983-12-08,0.8300000000000001,0.04335780990406611
533,'Iron Man 2',7.0,722049,10138,623933331.0,2010-04-28,0.7,0.4106018776211036
514,'Gran Torino',8.1,720182,13223,269958228.0,2008-12-09,0.8099999999999999,0.17765576831487784
456,'The Hangover',7.7,717356,18785,459270619.0,2009-06-05,0.77,0.3022396290247339
160,'Blade Runner',8.1,693537,78,33139618.0,1982-06-25,0.8099999999999999,0.021808723301634487
362,'Indiana Jones and the Last Crusade',8.2,692105,89,474171806.0,1989-05-24,0.82,0.31204589366390123
57,'12 Angry Men',9.0,689432,389,1000000.0,1957-03-25,0.9,0.0006580861403301174
419,'Silver Linings Playbook',7.7,661620,82693,205738714.0,2012-09-08,0.77,0.1353937962127419
266,Aliens,8.3,652487,679,183316455.0,1986-07-18,0.8300000000000001,0.12063801832994966
472,'District 9',7.9,638067,17654,210819611.0,2009-08-05,0.79,0.13873746410888677
435,Skyfall,7.7,630406,37724,1108561013.0,2012-10-25,0.77,0.7295286383656152
82,Psycho,8.5,603950,539,32000000.0,1960-06-16,0.85,0.021058756490563758
490,'The Hobbit: The Desolation of Smaug',7.8,601155,57158,958400000.0,2013-12-11,0.78,0.6307097568923846
600,Prisoners,8.1,600714,146233,122126687.0,2013-09-18,0.8099999999999999,0.08036988007913433
594,'Suicide Squad',6.0,600635,297761,745000000.0,2016-08-02,0.6,0.4902741745459375
584,'Despicable Me',7.6,500685,20352,543513985.0,2010-07-08,0.76,0.35767902060409135
569,'Rise of the Planet of the Apes',7.6,495748,61791,482860185.0,2011-08-03,0.76,0.31776359546573646
352,'Back to the Future Part II',7.8,481736,165,332000000.0,1989-11-20,0.78,0.218484598589599
561,'Pirates of the Caribbean: On Stranger Tides',6.6,481095,1865,1045713802.0,2011-05-14,0.6599999999999999,0.6881697598481127
341,'Rain Man',8.0,472903,380,412800000.0,1988-12-11,0.8,0.2716579587282725
535,'Mission: Impossible - Ghost Protocol',7.4,457115,56292,694713380.0,2011-12-07,0.74,0.4571812468798902
110,'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb',8.4,450292,935,9440272.0,1964-01-29,0.8400000000000001,0.006212512164146478
226,'Indiana Jones and the Temple of Doom',7.6,449250,87,333000000.0,1984-05-23,0.76,0.21914268472992912
381,'Edward Scissorhands',7.9,447247,162,53000000.0,1990-12-05,0.79,0.03487856543749623
557,Warrior,8.2,435787,59440,23057115.0,2011-09-09,0.82,0.015173567817497657
453,Twilight,5.2,426625,8966,392616625.0,2008-11-20,0.52,0.2583755593756871
356,'Dead Poets Society',8.1,425123,207,235860116.0,1989-06-02,0.8099999999999999,0.1552162733962538
375,'Back to the Future Part III',7.4,405768,196,244527583.0,1990-05-25,0.74,0.16092021330072245
307,'The Princess Bride',8.0,393737,2493,30857814.0,1987-09-18,0.8,0.020307099714284665
3,'Alice in Wonderland',6.4,383986,12155,1025491110.0,2010-03-03,0.64,0.6748614865227479
541,'This Is the End',6.6,383982,109414,126041322.0,2013-06-12,0.6599999999999999,0.08294604711708552
282,Platoon,8.1,381073,792,138530565.0,1986-12-18,0.8099999999999999,0.09116504483860045
545,'The Cabin in the Woods',7.0,376606,22970,66486080.0,2012-04-12,0.7,0.04375356777287941
522,Brave,7.1,373112,62177,538983207.0,2012-06-21,0.71,0.35469737839737875
163,'E.T. the Extra-Terrestrial',7.8,372343,601,792910554.0,1982-04-03,0.78,0.5218034461088752
306,Predator,7.8,371227,106,98235548.0,1987-06-11,0.78,0.06464745262653399
177,'The Thing',8.1,371117,1091,19629760.0,1982-06-25,0.8099999999999999,0.012918072994006527
518,Moneyball,7.6,369229,60308,110206216.0,2011-09-22,0.76,0.07252518332782723
208,Amadeus,8.3,368847,279,51973029.0,1984-10-26,0.8300000000000001,0.03420273005587526
286,'Stand by Me',8.1,363239,235,52287414.0,1986-08-22,0.8099999999999999,0.03440962246710295
222,Ghostbusters,7.8,355274,43074,229147509.0,2016-07-14,0.78,0.15079879976407085
505,2012,5.8,353151,14161,769653595.0,2009-10-10,0.58,0.5064983637247494
143,Batman,7.5,338424,268,411348924.0,1989-06-23,0.75,0.2707030257241068
380,'Die Hard 2',7.2,338258,1573,240031094.0,1990-07-02,0.72,0.1579611362096756
430,'Yes Man',6.8,335562,10201,225990978.0,2008-12-09,0.6799999999999999,0.14872153046144848
499,Moon,7.9,335054,17431,9760104.0,2009-06-12,0.79,0.006422989170580541
572,'The Expendables',6.5,325675,27578,274470394.0,2010-08-03,0.65,0.18062516222234662
416,'The Proposal',6.7,295857,18240,317375031.0,2009-06-01,0.67,0.20886010918794137
46,'Top Gun',6.9,295351,744,356830601.0,1986-05-16,0.6900000000000001,0.23482527296376615
103,'To Kill a Mockingbird',8.2,293714,595,13129846.0,1962-12-25,0.82,0.008640569677268832
542,RED,7.0,289196,39514,71664962.0,2010-10-13,0.7,0.047161718239484535
483,'Public Enemies',7.0,282263,11322,214104620.0,2009-07-01,0.7,0.14089928300264648
68,'The Untouchables',7.9,281692,117,76270454.0,1987-06-02,0.79,0.05019252869408577
543,'300: Rise of an Empire',6.2,281003,53182,337580051.0,2014-03-05,0.62,0.22215675281503422
510,'Law Abiding Citizen',7.4,271556,22803,126690726.0,2009-10-15,0.74,0.08337341088896046
97,'Lawrence of Arabia',8.3,267976,947,69995385.0,1962-12-10,0.8300000000000001,0.046062992755570596
468,'Green Lantern',5.5,266760,44912,219851172.0,2011-06-16,0.55,0.1446810092285328
449,'Lone Survivor',7.5,266262,193756,149295601.0,2013-12-24,0.75,0.09824936583035522
546,'The Twilight Saga: New Moon',4.7,265745,18239,709827462.0,2009-03-15,0.47000000000000003,0.4671276147679031
585,'Terminator Genisys',6.3,259579,87101,440603537.0,2015-06-23,0.63,0.2899550810801281
563,'Kung Fu Panda 2',7.2,253850,49444,665692281.0,2011-05-25,0.72,0.438082863850842
413,'Hachi: A Dog\'s Tale',8.1,253380,28178,47801389.0,2009-06-13,0.8099999999999999,0.031457431589428535
586,Dredd,7.1,251973,49049,41037742.0,2012-09-07,0.71,0.027006369240643154
146,'Dark Shadows',6.2,247510,62213,245527149.0,2012-05-08,0.62,0.16157801383166767
591,'The Adjustment Bureau',7.0,244048,38050,127869379.0,2011-03-03,0.7,0.08414906609251897
75,'Some Like It Hot',8.2,243827,239,25000000.0,1959-03-18,0.82,0.016452153508252937
593,'The Other Guys',6.6,242883,27581,170432927.0,2010-08-06,0.6599999999999999,0.11215954711459467
595,'Total Recall',6.3,240265,861,261317921.0,1990-06-01,0.63,0.17196970202998055
377,'Dances with Wolves',8.0,240166,581,424208848.0,1990-11-09,0.8,0.27916596347420547
508,Rango,7.2,236758,44896,245724603.0,2011-03-02,0.72,0.1617079555724204
451,Paul,7.0,234832,39513,97552050.0,2011-02-14,0.7,0.06419765206579063
310,RoboCop,7.5,232934,97020,242688965.0,2014-01-30,0.75,0.15971024427756098
391,Megamind,7.2,228509,38055,321887208.0,2010-10-28,0.72,0.2118295103343577
167,'First Blood',7.7,226441,1368,125212904.0,1982-10-22,0.77,0.08240087671288553
114,'The Great Escape',8.2,224624,5925,11744471.0,1963-06-20,0.82,0.007728873590608995
537,'The Tourist',6.0,224274,37710,278731369.0,2010-12-08,0.6,0.18342925081413974
44,'The Lone Ranger',6.4,221360,57201,89289910.0,2013-07-03,0.64,0.05876045224232356
69,Ben-Hur,8.1,219385,271969,94061311.0,2016-08-17,0.8099999999999999,0.06190044511038082
170,Gandhi,8.0,217602,783,77737889.0,1982-11-30,0.8,0.051158227329421095
461,'The Ides of March',7.1,215455,10316,75993061.0,2011-09-24,0.71,0.050009980205361175
504,'The Lincoln Lawyer',7.3,214700,50348,85412898.0,2011-03-17,0.73,0.05620904437923001
228,'A Nightmare on Elm Street',7.5,207056,377,25504513.0,1984-11-14,0.75,0.016784166521169305
579,'Gangster Squad',6.7,206317,82682,105200903.0,2013-01-10,0.67,0.06923125621451308
139,'The Sound of Music',8.0,205327,15121,286214286.0,1965-03-02,0.8,0.18835365478108038
475,'The Ugly Truth',6.4,204685,20943,205298907.0,2009-07-24,0.64,0.13510436532162173
59,'The Bridge on the River Kwai',8.1,203380,826,33300000.0,1957-10-02,0.8099999999999999,0.021914268472992913
556,'Teenage Mutant Ninja Turtles',5.8,200925,98566,477200000.0,2014-08-07,0.58,0.31403870616553203
225,Gremlins,7.3,199904,927,153083102.0,1984-06-07,0.73,0.10074186774494169
320,Big,7.3,198950,2280,151668774.0,1988-06-03,0.73,0.09981111809026087
550,'2 Guns',6.7,196582,136400,131940411.0,2013-08-02,0.67,0.08682815582855938
371,'When Harry Met Sally...',7.6,195564,639,92823546.0,1989-07-21,0.76,0.06108588911889511
227,'The Karate Kid',7.3,195539,1885,90815558.0,1984-06-22,0.73,0.05976446004614592
479,Orphan,7.0,190875,21208,41596251.0,2009-07-24,0.7,0.02737391627279279
164,'The Evil Dead',7.5,187288,764,29400000.0,1981-10-15,0.75,0.019347732525705454
457,'Blue Valentine',7.4,184243,46705,16566240.0,2010-12-27,0.74,0.010902012941382405
396,'Knight and Day',6.3,180289,37834,261930431.0,2010-06-15,0.63,0.17237278637179415
523,'Battle: Los Angeles',5.7,174373,44943,202466756.0,2011-03-08,0.5700000000000001,0.13324056600119966
127,Goldfinger,7.7,174046,658,124881062.0,1964-09-17,0.77,0.0821824960919061
393,'Zack and Miri Make a Porno',6.5,171915,10358,42105111.0,2008-09-18,0.65,0.02770878998616117
311,Spaceballs,7.1,171886,957,38119483.0,1987-06-24,0.71,0.025085903438849526
530,'Get Him to the Greek',6.4,169708,32823,90029656.0,2010-06-04,0.64,0.0592472688322882
536,'Anchorman 2: The Legend Continues',6.3,168906,109443,173649015.0,2013-12-18,0.63,0.11427601005347668
319,Akira,8.0,164829,149,553171.0,1988-07-16,0.8,0.0003640341683325514
397,Milk,7.5,164605,10139,54586584.0,2008-11-26,0.75,0.03592267437836574
78,'The Apartment',8.3,164281,284,25000000.0,1960-06-15,0.8300000000000001,0.016452153508252937
209,'Beverly Hills Cop',7.3,163679,90,316360478.0,1984-11-29,0.73,0.20819244592001104
350,'The Abyss',7.5,162691,2756,90000098.0,1989-08-09,0.75,0.059227817122152325
390,'He\'s Just Not That Into You',6.4,162137,10184,177259441.0,2009-02-06,0.64,0.11665198136476418
527,'Resident Evil: Afterlife',5.8,161909,35791,300228084.0,2010-09-09,0.58,0.19757594101826628
519,'Cars 2',6.1,161071,49013,559852396.0,2011-06-11,0.61,0.3684311024382085
544,Immortals,6.0,160753,37958,226904017.0,2011-11-10,0.6,0.14932238877292936
31,Metropolis,8.3,159924,19,650422.0,1927-01-10,0.8300000000000001,0.00042803370356579566
129,'Mary Poppins',7.8,157946,433,102272727.0,1964-08-27,0.78,0.0673042641724658
554,'Evil Dead',6.5,156555,109428,97542952.0,2013-04-05,0.65,0.06419166479808591
256,'Rambo: First Blood Part II',6.5,154611,1369,300400432.0,1985-05-21,0.65,0.1976893608483799
553,'Date Night',6.3,152335,35056,152263880.0,2010-04-08,0.63,0.10020274910088817
450,Adventureland,6.8,152142,16614,17164377.0,2009-04-03,0.6799999999999999,0.01129563861110104
96,'Dr. No',7.2,150098,646,59600000.0,1962-10-04,0.72,0.039221933963675
426,Invictus,7.3,149761,22954,122233971.0,2009-12-10,0.73,0.0804404821926135
294,'Evil Dead II',7.8,148299,765,5923044.0,1987-03-13,0.78,0.00389787316496546
242,Commando,6.7,146374,10999,57500000.0,1985-10-03,0.67,0.03783995306898175
173,Poltergeist,7.3,144480,609,122200000.0,1982-06-04,0.73,0.08041812634834035
313,'Wall Street',7.4,143684,10673,43848069.0,1987-12-10,0.74,0.028855806489138672
502,Pandorum,6.7,143592,19898,20645327.0,2009-09-08,0.67,0.013586403561283163
40,'On the Waterfront',8.1,142020,654,9600000.0,1954-06-22,0.8099999999999999,0.006317626947169128
120,'The Running Man',6.7,141210,865,38122105.0,1987-11-13,0.67,0.025087628940709473
460,'Crank: High Voltage',6.2,140517,15092,34560577.0,2009-04-16,0.62,0.02274383672551183
201,'Trading Places',7.5,136617,1621,90400000.0,1983-06-07,0.75,0.05949098708584262
409,'A Serious Man',7.0,133951,12573,31430334.0,2009-10-02,0.7,0.02068386719134646
183,'A Christmas Story',7.9,132913,850,19294144.0,1983-11-18,0.79,0.012697208755933494
588,'Jack the Giant Slayer',6.2,131743,81005,197687603.0,2013-02-27,0.62,0.13009547164938254
495,'An Education',7.3,128667,24684,26096852.0,2009-10-29,0.73,0.017173976607446306
512,'Last Vegas',6.6,128217,137093,134402450.0,2013-10-31,0.6599999999999999,0.0884483895714116
427,'The Invention of Lying',6.4,128205,23082,31912793.0,2009-09-13,0.64,0.02100136677252399
215,Dune,6.5,127421,841,30925690.0,1984-12-14,0.65,0.02035176796914571
250,'Mad Max Beyond Thunderdome',6.3,127048,9355,36230219.0,1985-06-29,0.63,0.023842604985024888
303,'The Lost Boys',7.3,124083,1547,32222567.0,1987-07-31,0.73,0.021205224748558613
268,'Big Trouble in Little China',7.3,123575,6978,11000000.0,1986-05-30,0.73,0.007238947543631292
515,'Jack Ryan: Shadow Recruit',6.2,123076,137094,50549107.0,2014-01-15,0.62,0.033265666722764126
360,Glory,7.8,122711,9665,26828365.0,1989-12-15,0.78,0.01765537517421761
274,Highlander,7.1,122083,8009,5900000.0,1986-03-07,0.71,0.003882708227947693
342,'Rambo III',5.8,121861,1370,189015611.0,1988-05-24,0.58,0.12438855390512889
488,'The Watch',5.7,121128,80035,68267862.0,2012-07-26,0.5700000000000001,0.044926133812169096
493,Bronson,7.1,120387,18533,2260712.0,2008-10-09,0.71,0.0014877432344779806
113,'From Russia with Love',7.4,120331,657,78898765.0,1963-10-11,0.74,0.05192218373566296
445,Blended,6.5,119695,232672,123494610.0,2014-05-21,0.65,0.08127009124647312
466,'Jennifer\'s Body',5.2,116120,19994,31556061.0,2009-09-18,0.52,0.02076660638751175
467,'Saw V',5.8,115124,11917,113857533.0,2008-10-23,0.58,0.07492806443947898
230,'Police Academy',6.7,114277,9336,146198896.0,1984-03-22,0.67,0.09621146718916425
346,Twins,6.1,114021,9493,216614388.0,1988-12-09,0.61,0.1425509265388905
534,'Let Me In',7.1,113592,41402,24145613.0,2010-10-01,0.71,0.015889893265074707
15,'The Kid',8.3,113240,4244,69700000.0,2000-07-07,0.8300000000000001,0.045868603981009184
176,'Star Trek II: The Wrath of Khan',7.7,112679,154,96800000.0,1982-06-03,0.77,0.06370273838395538
428,'Water for Elephants',6.9,111260,55787,114156230.0,2011-03-15,0.6900000000000001,0.07512463279533717
433,'Ghost Rider: Spirit of Vengeance',4.3,110963,71676,149217355.0,2011-12-10,0.43,0.09819787322221896
345,'They Live',7.3,110260,8337,13008928.0,1988-11-23,0.73,0.008560995217352395
291,'Beverly Hills Cop II',6.5,107464,96,299965036.0,1987-05-18,0.65,0.19740283277522475
465,'The Boat That Rocked',7.4,107329,18947,36348784.0,2009-04-01,0.74,0.02392063096825313
140,Thunderball,7.0,107082,660,141195658.0,1965-12-16,0.7,0.09291890560459128
516,'Out of the Furnace',6.8,106799,164457,15400000.0,2013-12-06,0.6799999999999999,0.01013452656108381
296,Hellraiser,7.0,104112,9003,14564027.0,1987-09-11,0.7,0.00958438431609362
6,'A Christmas Carol',6.8,103732,17979,325233863.0,2009-11-04,0.6799999999999999,0.21403189760632418
394,'The Iron Lady',6.4,103306,71688,114956699.0,2011-12-30,0.64,0.07565141035000107
434,'Meet the Spartans',2.8,101486,7278,84646831.0,2008-01-24,0.27999999999999997,0.05570490630396574
358,'Driving Miss Daisy',7.3,99358,403,145793296.0,1989-12-13,0.73,0.09594454745064636
503,'My Name Is Khan',8.0,98534,26022,42345360.0,2010-02-12,0.8,0.027866894523289342
220,Frankenweenie,6.9,98403,62214,35287788.0,2012-10-04,0.6900000000000001,0.023222404205707436
354,'Born on the Fourth of July',7.2,98381,2604,161001698.0,1989-12-20,0.72,0.10595298602341519
178,Tootsie,7.4,97918,9576,177200000.0,1982-12-16,0.74,0.11661286406649682
190,'National Lampoon\'s Vacation',7.4,97570,11153,61399552.0,1983-07-28,0.74,0.040406194193678344
477,'The Final Destination',5.2,97059,19912,186167139.0,2009-08-26,0.52,0.12251401396081048
93,'West Side Story',7.5,96994,1725,43656822.0,1961-10-18,0.75,0.028729949489058958
192,Octopussy,6.6,95615,700,187500000.0,1983-06-05,0.6599999999999999,0.12339115131189703
363,'Licence to Kill',6.6,94935,709,156167015.0,1989-07-07,0.6599999999999999,0.10277134814822556
521,'Leap Year',6.5,94926,25195,29922472.0,2010-01-08,0.65,0.01969156410761601
165,'Fast Times at Ridgemont High',7.2,94496,13342,27092880.0,1982-08-13,0.72,0.01782944882962703
366,'Pet Sematary',6.6,94310,8913,57469467.0,1989-04-21,0.6599999999999999,0.03781985972485905
301,'The Last Emperor',7.7,94252,746,43984230.0,1987-10-21,0.77,0.028945412156092164
98,Lolita,7.6,92831,802,9250000.0,1962-06-13,0.76,0.006087296798053587
421,'Year One',4.9,92100,17610,62357900.0,2009-06-18,0.49000000000000005,0.04103686973009143
420,'I Love You Phillip Morris',6.6,91508,8952,10652035.0,2009-01-18,0.6599999999999999,0.0070099565998113225
204,WarGames,7.1,90965,860,79567667.0,1983-06-03,0.71,0.05236237887110206
485,'The Rite',6.0,90910,48171,96047633.0,2011-01-28,0.6,0.06320761608881362
